       tablename        |                    indexname                     
------------------------+--------------------------------------------------
 badge_definitions      | badge_definitions_code_key
 badge_definitions      | badge_definitions_pkey
 blink_reports          | idx_blink_reports_created_at
 blink_reports          | blink_reports_pkey
 blink_reports          | idx_blink_reports_blink_id
 blink_reports          | idx_blink_reports_status
 blink_reports          | idx_blink_reports_reason
 blink_trending_metrics | blink_trending_metrics_pkey
 blink_trending_metrics | idx_trending_metrics_date
 blink_trending_metrics | idx_trending_metrics_blink_id
 blink_trending_metrics | blink_trending_metrics_blink_id_metric_date_key
 blink_trending_metrics | idx_trending_metrics_runs
 blinks                 | idx_blinks_mode
 blinks                 | idx_blinks_response_type
 blinks                 | idx_blinks_payment_token
 blinks                 | idx_blinks_health_status
 blinks                 | idx_blinks_is_public
 blinks                 | idx_blinks_is_featured
 blinks                 | idx_blinks_publish_to_catalog
 blinks                 | idx_blinks_badges
 blinks                 | idx_blinks_media_type
 blinks                 | blinks_slug_key
 blinks                 | idx_blinks_slug
 blinks                 | idx_blinks_creator_id
 blinks                 | idx_blinks_status
 blinks                 | idx_blinks_category
 blinks                 | idx_blinks_expires_at
 blinks                 | blinks_pkey
 blinks                 | idx_blinks_avg_latency
 blinks                 | idx_blinks_success_rate
 blinks                 | idx_blinks_catalog_published_at
 blinks                 | idx_blinks_creator_status
 blinks                 | idx_blinks_created_at
 creator_debts          | idx_creator_debts_settled
 creator_debts          | idx_creator_debts_refund_id
 creator_debts          | idx_creator_debts_blink_id
 creator_debts          | idx_creator_debts_creator_id
 creator_debts          | unique_refund_debt
 creator_debts          | creator_debts_pkey
 creators               | idx_creators_profile_slug
 creators               | creators_pkey
 creators               | creators_wallet_key
 creators               | idx_creators_wallet
 creators               | idx_creators_encrypted_payout_key
 creators               | idx_creators_is_verified
 creators               | creators_profile_slug_key
 featured_blinks        | featured_blinks_pkey
 featured_blinks        | idx_featured_blinks_active
 featured_blinks        | idx_featured_blinks_blink_id
 gallery_access         | idx_gallery_access_viewer
 gallery_access         | gallery_access_reference_key
 gallery_access         | gallery_access_pkey
 gallery_access         | idx_gallery_access_reference
 gallery_access         | idx_gallery_access_expires
 gallery_access         | idx_gallery_access_creator
 gallery_images         | gallery_images_pkey
 gallery_images         | idx_gallery_images_creator
 gallery_images         | idx_gallery_images_uploaded_at
 gallery_images         | idx_gallery_images_thumbnail
 migrations             | migrations_pkey
 migrations             | migrations_name_key
 platform_config        | platform_config_pkey
 receipts               | receipts_run_id_key
 receipts               | receipts_pkey
 receipts               | idx_receipts_tree
 receipts               | idx_receipts_run_id
 refunds                | refunds_pkey
 refunds                | idx_refunds_run_id
 refunds                | idx_refunds_status
 refunds                | idx_refunds_creator_debt_id
 refunds                | idx_refunds_signature
 refunds                | refunds_refund_signature_key
 reward_claims          | idx_reward_claims_blink
 reward_claims          | idx_reward_claims_signature
 reward_claims          | idx_reward_claims_reference
 reward_claims          | idx_reward_claims_user_wallet
 reward_claims          | idx_reward_claims_blink_id
 reward_claims          | idx_reward_claims_claimed_at
 reward_claims          | reward_claims_blink_id_user_wallet_reference_key
 reward_claims          | reward_claims_pkey
 reward_claims          | reward_claims_signature_key
 reward_claims          | idx_reward_claims_blink_user
 runs                   | runs_pkey
 runs                   | idx_runs_metadata
 runs                   | idx_runs_payer
 runs                   | idx_runs_signature
 runs                   | unique_reference_signature
 runs                   | idx_runs_executed_at
 runs                   | idx_runs_paid_at
 runs                   | runs_signature_unique
 runs                   | idx_runs_facilitator
 runs                   | idx_runs_payment_method
 runs                   | idx_runs_blink_status
 runs                   | idx_runs_expires_at
 runs                   | runs_reference_key
 runs                   | idx_runs_reference
 runs                   | idx_runs_created_at
 runs                   | idx_runs_status
 runs                   | idx_runs_blink_id
 twitter_activity       | twitter_activity_pkey
 twitter_activity       | idx_twitter_activity_credential_id
 twitter_activity       | idx_twitter_activity_run_id
 twitter_activity       | idx_twitter_activity_run
 twitter_activity       | idx_twitter_activity_created_at
 twitter_activity       | idx_twitter_activity_status
 twitter_activity       | idx_twitter_activity_credential
 twitter_activity       | idx_twitter_activity_created
 twitter_credentials    | twitter_credentials_twitter_user_id_key
 twitter_credentials    | idx_twitter_credentials_twitter_user_id
 twitter_credentials    | idx_twitter_credentials_is_active
 twitter_credentials    | twitter_credentials_pkey
 twitter_credentials    | idx_twitter_credentials_user_id
 twitter_credentials    | twitter_credentials_creator_id_key
 twitter_credentials    | idx_twitter_credentials_creator_id
 twitter_credentials    | idx_twitter_credentials_creator
 url_filters            | idx_url_filters_active
 url_filters            | idx_url_filters_type
 url_filters            | url_filters_pkey
 url_filters            | idx_url_filters_pattern
(119 rows)

